q,1,q2,q3,q4,q5,
Horodateur,Trouvez vous intéressant de pouvoir visualiser rapidement les résultats de votre test pour comprendre la performance que vous avez réalisé ?,"Avez-vous trouvé les résultats affichés clairs et faciles à comprendre ? Si non, quels aspects vous ont posés problème ? ",À quel point êtes vous confiant dans la précision des résultats affichés,Comment évalueriez-vous l’esthétique visuelle de l’interface ?,Les informations fournies par les résultats affichés vous ont-elles semblées complètes ? Si non que manquait il ?
11/03/2024 16:23:14,Très intéressant,Bien expliqué avec le tapping plus difficile a comprendre a cause des pourcentages peu clair mais qui peuvent être expliqué par un coach,Très confiant.e,Plutôt agréable,Oui très complète sur la recherche 
11/03/2024 16:26:24,Très intéressant,Oui,Très confiant.e,Très agréable,Au top
11/03/2024 16:40:08,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Une personnalisation 
11/03/2024 16:42:14,Très intéressant,"Oui c'était bien mais c'est peut être mieux de ne pas superposer les scores et moyennes, plutôt avoir des barres séparées",Plutôt confiant.e,Indifférent,Oui c'est carré
11/03/2024 16:53:13,Très intéressant,Oui,Ni confiant.e ni sceptique,Plutôt agréable,"Non, pas de pied droit "
12/03/2024 09:35:01,Très intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 09:47:05,Très intéressant,Oui,Très confiant.e,Indifférent,Oui
12/03/2024 09:57:34,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Différenciation homme femme
12/03/2024 10:34:08,Très intéressant,Tres clair,Très confiant.e,Plutôt agréable,Super Nour est beau
12/03/2024 10:58:52,Très intéressant,"Très bien, peut être différencier par type de population (âge, sexe)",Plutôt confiant.e,Indifférent,"Âge, peut être aussi l’activité physique (si la personne se considère active dans sa vie de tout les jours ou pas), peut être la taille aussi"
12/03/2024 12:17:31,,,Plutôt confiant.e,Plutôt agréable,
12/03/2024 13:05:01,Très intéressant,Oui très clairs,Très confiant.e,Plutôt agréable,Oui
12/03/2024 13:06:39,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Oui
12/03/2024 14:07:05,Très intéressant,"Oui, mais beaucoup d'info",Très confiant.e,Plutôt agréable,
12/03/2024 14:13:12,Très intéressant,Oui,Plutôt confiant.e,Indifférent,Rien de spécial 
12/03/2024 14:47:20,Très intéressant,Oui ,Plutôt confiant.e,"Très agréable, Plutôt agréable",Très bien
12/03/2024 14:47:32,Très intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:06:42,Très intéressant,Oui,Plutôt confiant.e,Plutôt désagréable,Le temps de saut :)
12/03/2024 15:12:40,Plutôt intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:34:57,Très intéressant,Oui assez faciles,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:42:04,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Peut-être être faire une équivalence entre la hauteur sautée et un objet de la vie courante pour rendre l’exercice encore plus ludique 
12/03/2024 16:00:17,Très intéressant,Oui !,Très confiant.e,Plutôt agréable,
12/03/2024 16:19:22,Très intéressant,,Très confiant.e,Plutôt agréable,
